id;nome_disciplina;carga;semestre
1;Cálculo a uma Variável ;80 ;1 
2;Estatística para Análise de Dados ;80 ;1 
3;Ética e Legislação em Ciência de Dados ;80 ;1 
4;Ciência de Dados nos Negócios ;80 ;1 
5;Fundamentos de Economia ;80 ;2 
6;Inferência Estatística ;80 ;2 
7;Modelagem Computacional ;80 ;2 
8;Programação com Orientação a Objetos ;80 ;2 
9;Geometria Analítica e Álgebra Linear ;80 ;2 
10;Matemática Discreta ;80 ;3 
11;Desenvolvimento Web ;80 ;3 
12;Design Gráfico e User Experience ;80 ;3 
13;Inovação e Design Thinking ;80 ;3 
14;Projeto Front-End ;80 ;3 
15;Programação para Análise de Dados ;80 ;4 
16;Estrutura e Engenharia de Dados ;80 ;4 
17;Business Intelligence ;80 ;4 
18;Business Analytics ;80 ;4 
19;Projeto de Dashboard ;80 ;4 
20;Gestão do Conhecimento ;80 ;5 
21;Arquitetura de Data Warehouse e Data Marts ;80 ;5 
22;Extração e Preparação de Dados ;80 ;5 
23;Big Data e Cloud Computing ;80 ;5 
24;Projeto de ETL ;80 ;5 
25;Aprendizado de Máquina ;80 ;6 
26;Startups e Negócios Digitais ;80 ;6 
27;Aprendizagem por Reforço ;80 ;6 
28;PLN e Visão Computacional ;80 ;6 
29;Projeto de Machine Learning ;80 ;6 
30;Análise de Séries Temporais ;80 ;7 
31;Redes Neurais e Deep Learning ;80 ;7 
32;Projeto de Deep Learning ;80 ;7 
33;Eletiva I ;80 ;7 
34;Eletiva II ;80 ;7 
35;Métodos Ágeis de Desenvolvimento de Software ;80 ;8 
36;TIC na Estratégia Empresarial ;80 ;8 
37;Liderança Contemporânea ;80 ;8 
38;Eletiva III ;80 ;8 
39;Eletiva IV ;80 ;8 
